DIRECTORIO;P1_MUNICIPIO
7000000;001
7000001;001
7000002;001
7000003;001
7000004;001
7000005;001
7000006;001
7000007;001
7000008;001
7000010;001
7000011;001
7000013;001
7000014;001
7000015;001
7000016;001
7000017;433
7000018;001
7000019;001
7000020;638
7000021;770
7000022;296
7000023;001
7000024;001
7000025;396
7000026;396
7000027;006
7000028;006
7000029;006
7000030;006
7000031;006
7000032;006
7000034;001
7000035;001
7000036;001
7000037;001
7000038;001
7000039;001
7000040;001
7000041;001
7000042;001
7000043;001
7000044;001
7000045;001
7000046;001
7000047;001
7000048;001
7000049;001
7000051;001
7000052;001
7000054;001
7000055;001
7000056;001
7000058;001
7000059;001
7000060;001
7000061;001
7000062;001
7000063;001
7000064;001
7000065;001
7000066;001
7000067;001
7000069;001
7000070;001
7000071;001
7000072;001
7000073;001
7000074;001
7000075;001
7000076;001
7000077;001
7000078;001
7000079;001
7000080;001
7000082;001
7000083;001
7000084;001
7000085;001
7000086;001
7000087;001
7000088;001
7000089;001
7000090;001
7000091;001
7000092;001
7000093;001
7000094;001
7000095;001
7000096;001
7000097;001
7000098;001
7000099;001
7000102;001
7000103;001
7000104;001
7000105;001
7000106;001
7000107;001
7000108;001
7000109;001
7000110;001
7000111;001
7000112;001
7000113;001
7000114;001
7000115;001
7000116;001
7000117;001
7000118;001
7000119;001
7000120;001
7000121;001
7000122;001
7000123;001
7000124;001
7000126;001
7000127;001
7000128;001
7000129;001
7000130;001
7000131;001
7000132;001
7000133;001
7000134;001
7000136;001
7000137;001
7000139;001
7000140;001
7000141;001
7000142;001
7000143;001
7000145;396
7000146;396
7000147;001
7000148;001
7000149;001
7000150;001
7000151;001
7000152;001
7000153;001
7000154;001
7000155;001
7000156;001
7000158;001
7000159;001
7000160;001
7000161;001
7000162;001
7000163;001
7000164;001
7000165;001
7000166;001
7000167;001
7000168;001
7000169;001
7000170;001
7000171;001
7000172;001
7000173;001
7000174;001
7000175;001
7000176;001
7000177;001
7000178;001
7000179;001
7000180;001
7000181;001
7000182;001
7000183;001
7000184;001
7000185;001
7000186;001
7000187;001
7000190;001
7000193;001
7000195;001
7000197;001
7000198;001
7000201;001
7000202;001
7000203;001
7000204;001
7000205;001
7000206;001
7000208;001
7000209;001
7000210;001
7000211;001
7000212;001
7000213;001
7000214;001
7000215;001
7000216;001
7000217;001
7000218;001
7000219;001
7000220;001
7000221;001
7000222;001
7000223;001
7000224;001
7000225;001
7000227;001
7000228;001
7000229;001
7000230;001
7000231;001
7000232;001
7000233;001
7000234;001
7000235;001
7000236;001
7000237;001
7000238;001
7000239;001
7000240;001
7000241;001
7000242;001
7000243;001
7000244;001
7000245;001
7000246;001
7000247;001
7000248;001
7000249;001
7000250;001
7000251;001
7000252;001
7000253;001
7000254;001
7000255;001
7000256;001
7000258;001
7000259;001
7000260;001
7000261;001
7000262;001
7000263;001
7000264;860
7000265;860
7000266;753
7000267;753
7000268;753
7000269;753
7000270;753
7000271;753
7000272;753
7000273;753
7000274;001
7000275;001
7000276;001
7000277;001
7000278;001
7000279;001
7000280;001
7000283;001
7000284;001
7000285;001
7000286;001
7000287;001
7000288;001
7000289;001
7000290;001
7000291;001
7000292;001
7000293;001
7000294;001
7000295;001
7000296;001
7000297;001
7000298;001
7000299;001
7000300;001
7000301;001
7000302;001
7000303;001
7000304;001
7000305;001
7000306;001
7000307;001
7000308;001
7000309;001
7000310;001
7000311;001
7000312;001
7000313;001
7000314;001
7000316;001
7000317;001
7000318;001
7000319;001
7000320;001
7000321;001
7000322;001
7000323;001
7000324;001
7000325;001
7000326;001
7000327;001
7000328;001
7000329;001
7000330;001
7000331;001
7000332;001
7000333;001
7000334;001
7000335;001
7000336;001
7000337;001
7000338;001
7000340;001
7000341;006
7000342;006
7000343;006
7000344;006
7000345;006
7000346;001
7000347;001
7000348;006
7000350;001
7000353;006
7000354;006
7000355;006
7000356;006
7000357;001
7000358;001
7000360;313
7000362;313
7000365;313
7000367;313
7000369;313
7000370;001
7000371;001
7000372;001
7000373;689
7000374;689
7000375;689
7000376;689
7000378;689
7000380;689
7000382;689
7000383;689
7000384;001
7000385;001
7000386;001
7000387;001
7000388;001
7000389;001
7000390;001
7000391;573
7000393;573
7000394;573
7000395;573
7000396;573
7000397;573
7000398;573
7000399;573
7000400;573
7000401;455
7000403;455
7000404;455
7000405;001
7000406;001
7000407;001
7000408;001
7000409;001
7000410;001
7000411;001
7000412;001
7000413;001
7000414;001
7000417;001
7000418;001
7000419;001
7000420;001
7000421;001
7000422;001
7000423;001
7000424;001
7000425;001
7000426;001
7000427;001
7000428;001
7000429;001
7000430;001
7000431;001
7000432;001
7000433;001
7000434;001
7000435;001
7000436;001
7000437;001
7000438;001
7000439;001
7000440;001
7000441;001
7000443;001
7000444;001
7000445;001
7000446;001
7000447;001
7000448;001
7000449;001
7000450;001
7000451;001
7000452;001
7000453;001
7000454;001
7000486;736
7000487;736
7000488;736
7000489;736
7000490;736
7000491;736
7000492;736
7000493;736
7000494;794
7000495;794
7000496;794
7000498;794
7000500;794
7000501;794
7000502;794
7000503;001
7000505;001
7000508;001
7000509;001
7000510;001
7000511;001
7000513;001
7000514;001
7000519;010
7000521;001
7000522;001
7000523;001
7000524;001
7000525;001
7000526;001
7000527;001
7000528;001
7000529;001
7000530;001
7000531;001
7000532;001
7000534;001
7000535;001
7000536;001
7000537;001
7000538;001
7000540;001
7000541;001
7000542;001
7000543;001
7000544;001
7000545;001
7000546;001
7000547;001
7000548;001
7000549;001
7000550;001
7000552;001
7000553;001
7000554;001
7000555;001
7000556;001
7000558;001
7000559;025
7000560;025
7000561;025
7000562;025
7000563;025
7000564;025
7000565;025
7000566;025
7000568;025
7000569;025
7000570;025
7000571;025
7000572;025
7000573;025
7000574;025
7000576;025
7000577;025
7000578;025
7000579;025
7000580;025
7000581;025
7000582;025
7000583;025
7000584;025
7000585;025
7000587;001
7000588;001
7000589;001
7000590;001
7000591;001
7000592;001
7000593;001
7000594;001
7000596;001
7000597;001
7000598;001
7000599;001
7000600;001
7000601;001
7000602;001
7000603;001
7000604;001
7000605;001
7000606;001
7000607;001
7000608;001
7000609;001
7000610;001
7000611;001
7000612;001
7000613;001
7000614;001
7000615;001
7000616;001
7000617;001
7000618;001
7000619;001
7000620;001
7000621;001
7000622;001
7000623;001
7000624;001
7000625;001
7000626;001
7000627;001
7000628;001
7000629;001
7000630;001
7000632;001
7000633;001
7000634;001
7000635;001
7000636;001
7000637;001
7000638;001
7000639;001
7000640;001
7000641;001
7000642;001
7000643;001
7000644;001
7000645;001
7000646;001
7000647;001
7000648;001
7000650;001
7000651;001
7000653;001
7000654;001
7000655;001
7000656;001
7000657;433
7000658;433
7000659;433
7000660;433
7000661;433
7000662;433
7000663;433
7000664;433
7000665;433
7000666;433
7000667;433
7000669;001
7000670;001
7000671;001
7000672;001
7000673;001
7000674;001
7000675;001
7000677;078
7000678;078
7000679;078
7000680;078
7000681;638
7000682;638
7000683;638
7000684;638
7000685;638
7000686;638
7000687;638
7000688;638
7000689;638
7000690;638
7000691;770
7000692;770
7000693;770
7000694;770
7000695;770
7000696;770
7000698;770
7000700;770
7000701;770
7000702;770
7000703;296
7000704;296
7000705;296
7000706;296
7000707;296
7000708;296
7000709;296
7000710;296
7000711;296
7000712;296
7000713;549
7000714;549
7000716;549
7000717;549
7000718;549
7000719;549
7000720;549
7000722;001
7000723;001
7000724;001
7000725;001
7000726;001
7000727;001
7000728;001
7000729;001
7000730;001
7000731;001
7000732;001
7000733;001
7000735;001
7000736;001
7000737;001
7000738;001
7000740;001
7000741;001
7000742;001
7000744;001
7000745;001
7000746;001
7000747;001
7000749;001
7000750;001
7000751;001
7000752;001
7000753;001
7000754;001
7000755;001
7000758;001
7000759;001
7000760;001
7000761;052
7000762;052
7000763;052
7000764;052
7000765;052
7000766;052
7000767;052
7000768;052
7000769;052
7000770;052
7000771;052
7000772;052
7000773;001
7000774;001
7000775;001
7000776;001
7000777;001
7000778;001
7000779;001
7000781;001
7000782;001
7000783;001
7000784;001
7000786;001
7000787;001
7000788;001
7000789;001
7000790;001
7000791;001
7000792;001
7000793;001
7000794;001
7000797;001
7000798;001
7000799;001
7000800;001
7000801;001
7000802;001
7000803;001
7000804;001
7000805;035
7000806;035
7000808;035
7000809;035
7000810;035
7000811;035
7000812;035
7000813;035
7000814;078
7000815;078
7000816;078
7000817;078
7000818;078
7000819;078
7000820;078
7000821;078
7000822;078
7000823;430
7000824;430
7000825;430
7000826;430
7000827;430
7000828;430
7000829;430
7000830;430
7000831;430
7000832;430
7000833;430
7000834;430
7000835;430
7000836;430
7000837;430
7000838;001
7000839;001
7000840;001
7000841;001
7000842;001
7000843;001
7000845;001
7000846;001
7000847;001
7000848;001
7000849;001
7000850;001
7000851;001
7000852;001
7000853;001
7000854;001
7000855;001
7000856;001
7000857;001
7000858;001
7000859;001
7000860;001
7000861;001
7000862;001
7000863;001
7000864;001
7000865;001
7000866;001
7000867;001
7000868;001
7000869;001
7000870;001
7000871;001
7000873;001
7000874;001
7000875;001
7000876;001
7000877;001
7000879;001
7000880;001
7000881;001
7000882;001
7000883;001
7000884;001
7000885;001
7000886;001
7000887;001
7000888;001
7000889;001
7000890;001
7000891;001
7000892;001
7000893;001
7000894;001
7000895;001
7000896;001
7000897;001
7000898;001
7000899;001
7000900;001
7000901;001
7000902;001
7000903;001
7000904;001
7000905;001
7000906;001
7000907;001
7000908;001
7000909;001
7000910;001
7000911;001
7000912;001
7000913;001
7000914;001
7000915;001
7000916;001
7000917;001
7000918;001
7000919;001
7000920;001
7000921;001
7000922;001
7000923;001
7000924;001
7000925;001
7000926;001
7000927;001
7000928;001
7000929;001
7000930;001
7000931;001
7000932;001
7000934;001
7000935;001
7000936;001
7000937;001
7000938;001
7000939;001
7000940;001
7000941;001
7000942;001
7000943;001
7000944;001
7000945;001
7000947;001
7000948;001
7000949;001
7000950;001
7000951;001
7000952;001
7000953;001
7000954;001
7000956;001
7000957;001
7000958;001
7000959;001
7000960;001
7000961;001
7000962;001
7000963;001
7000964;001
7000965;001
7000966;754
7000967;754
7000968;754
7000969;754
7000970;754
7000971;754
7000973;001
7000974;001
7000975;001
7000977;001
7000978;001
7000979;001
7000980;001
7000981;001
7000982;001
7000983;001
7000984;001
7000985;001
7000986;001
7000987;001
7000989;001
7000990;001
7000991;001
7000992;001
7000993;001
7000994;001
7000995;001
7000996;001
7000997;001
7000998;001
7000999;001
7001001;001
7001002;001
7001003;001
7001004;001
7001006;001
7001007;001
7001008;001
7001009;001
7001010;001
7001011;001
7001012;001
7001013;001
7001014;001
7001015;001
7001016;001
7001017;001
7001018;001
7001019;001
7001020;001
7001021;001
7001022;001
7001023;001
7001024;753
7001025;753
7001026;753
7001027;753
7001028;753
7001029;753
7001030;753
7001031;753
7001032;753
7001033;753
7001034;753
7001035;753
7001036;753
7001037;753
7001039;753
7001040;753
7001041;479
7001042;479
7001043;479
7001044;001
7001045;001
7001049;001
7001050;001
7001051;001
7001052;001
7001053;001
7001054;001
7001055;001
7001056;001
7001058;001
7001060;001
7001061;001
7001062;001
7001063;001
7001065;001
7001066;001
7001068;001
7001069;001
7001070;001
7001072;001
7001073;001
7001074;001
7001076;001
7001078;001
7001079;001
7001080;001
7001081;001
7001082;306
7001083;306
7001084;306
7001085;306
7001086;306
7001087;306
7001088;306
7001089;306
7001090;306
7001091;306
7001092;306
7001093;306
7001094;306
7001095;306
7001096;306
7001098;306
7001099;306
7001100;306
7001101;306
7001102;306
7001103;306
7001107;306
7001108;396
7001110;396
7001111;396
7001112;396
7001113;396
7001114;396
7001115;396
7001118;396
7001119;396
7001120;396
7001121;396
7001122;396
7001123;396
7001126;006
7001127;006
7001129;006
7001130;006
7001131;006
7001133;006
7001134;006
7001135;006
7001136;006
7001137;006
7001139;006
7001140;006
7001142;006
7001145;006
7001146;006
7001147;006
7001148;006
7001149;006
7001150;006
7001151;006
7001152;006
7001153;006
7001154;006
7001155;006
7001156;006
7001157;006
7001159;503
7001162;503
7001163;503
7001166;503
7001167;503
7001168;503
7001169;503
7001170;503
7001171;503
7001173;503
7001174;503
7001175;503
7001176;503
7001177;503
7001178;503
7001180;503
7001181;503
7001183;503
7001184;503
7001186;503
7001187;503
7001188;503
7001189;503
7001190;503
7001191;503
7001193;503
7001194;001
7001195;001
7001196;001
7001197;001
7001198;001
7001199;001
7001200;001
7001201;001
7001202;001
7001203;001
7001204;001
7001205;001
7001206;001
7001207;001
7001208;001
7001209;001
7001210;001
7001211;001
7001212;001
7001214;001
7001215;001
7001216;001
7001217;001
7001218;001
7001219;001
7001220;001
7001221;001
7001222;001
7001224;001
7001225;001
7001226;001
7001227;001
7001228;001
7001229;001
7001231;001
7001232;001
7001233;001
7001234;001
7001235;001
7001236;001
7001238;001
7001240;001
7001241;001
7001242;001
7001243;001
7001244;001
7001245;001
7001246;001
7001247;001
7001248;001
7001249;001
7001250;001
7001251;001
7001252;001
7001253;001
7001254;001
7001255;001
7001256;001
7001257;001
7001258;001
7001259;001
7001260;001
7001261;001
7001263;001
7001264;001
7001265;001
7001266;001
7001268;001
7001269;001
7001270;001
7001271;001
7001272;001
7001273;001
7001274;001
7001275;001
7001276;679
7001277;679
7001278;679
7001279;679
7001280;679
7001282;077
7001283;077
7001284;077
7001285;077
7001286;077
7001287;077
7001288;001
7001289;001
7001290;001
7001291;001
7001292;001
7001293;001
7001294;001
7001295;001
7001296;001
7001297;001
7001298;001
7001299;001
7001300;001
7001301;001
7001302;001
7001303;001
7001304;001
7001305;001
7001306;001
7001307;001
7001308;001
7001309;001
7001310;001
7001311;001
7001312;001
7001313;001
7001314;001
7001315;001
7001316;001
7001317;001
7001318;001
7001319;001
7001320;001
7001321;001
7001323;001
7001324;001
7001326;001
7001327;001
7001328;001
7001329;001
7001330;001
7001331;001
7001332;001
7001333;001
7001334;001
7001335;001
7001336;001
7001337;001
7001338;001
7001339;001
7001340;001
7001341;001
7001342;001
7001343;001
7001345;001
7001346;001
7001349;001
7001351;001
7001352;001
7001353;001
7001354;001
7001355;001
7001356;001
7001357;001
7001358;001
7001359;001
7001360;001
7001361;001
7001362;001
7001363;001
7001364;001
7001365;001
7001366;001
7001367;001
7001368;001
7001369;001
7001370;364
7001371;364
7001372;364
7001373;364
7001374;364
7001375;364
7001376;364
7001378;364
7001379;364
7001380;364
7001381;364
7001382;364
7001383;364
7001384;364
7001385;364
7001386;364
7001387;364
7001388;364
7001389;364
7001390;364
7001391;364
7001392;364
7001393;364
7001394;520
7001395;520
7001396;520
7001397;520
7001398;520
7001399;520
7001400;520
7001401;520
7001402;520
7001403;520
7001404;520
7001405;520
7001406;520
7001407;520
7001409;520
7001410;130
7001411;130
7001413;130
7001414;130
7001415;130
7001416;130
7001417;130
7001418;130
7001419;130
7001420;130
7001421;130
7001422;130
7001424;130
7001425;130
7001426;130
7001427;130
7001428;130
7001429;130
7001430;130
7001431;130
7001432;130
7001433;130
7001434;130
7001435;130
7001436;001
7001437;001
7001438;001
7001439;001
7001440;001
7001441;001
7001442;001
7001443;001
7001444;001
7001445;001
7001446;001
7001447;001
7001448;001
7001449;001
7001450;001
7001451;001
7001452;001
7001453;001
7001454;001
7001455;001
7001456;001
7001457;001
7001458;001
7001459;001
7001460;001
7001461;001
7001462;001
7001463;001
7001464;001
7001465;001
7001466;001
7001467;001
7001468;001
7001469;001
7001470;110
7001471;110
7001472;110
7001473;110
7001474;110
7001475;110
7001476;110
7001479;110
7001480;110
7001481;110
7001482;110
7001483;110
7001484;110
7001486;110
7001487;110
7001489;050
7001491;050
7001492;050
