MPIO;Rural/Urbano
47001;Urbano
47053;Urbano
47189;Urbano
47288;Urbano
76113;Rural
52227;Rural
76122;Urbano
76126;Rural
76130;Urbano
52233;Rural
76147;Urbano
52256;Rural
52385;Rural
52418;Rural
52540;Rural
52612;Rural
54174;Rural
54206;Rural
54245;Rural
54250;Rural
54800;Rural
54810;Rural
54820;Rural
66456;Rural
66572;Rural
76100;Rural
76233;Rural
81300;Rural
81736;Urbano
81794;Rural
85125;Rural
85250;Rural
86569;Rural
5475;Rural
5873;Rural
18150;Rural
18753;Rural
18756;Rural
18785;Rural
19318;Rural
19418;Rural
19809;Rural
27001;Urbano
27006;Rural
27025;Rural
27050;Rural
27073;Rural
27075;Rural
27077;Rural
27099;Rural
27135;Rural
27150;Rural
27160;Rural
27205;Rural
27245;Rural
27250;Rural
27361;Rural
27372;Rural
27413;Rural
27425;Rural
27430;Rural
27450;Rural
27491;Rural
27495;Rural
27580;Rural
27600;Rural
27660;Rural
27745;Rural
27787;Rural
27800;Rural
27810;Urbano
44847;Rural
50350;Rural
52079;Rural
52250;Rural
52390;Rural
52427;Rural
52473;Rural
52490;Rural
52520;Rural
25483;Rural
52621;Rural
52696;Rural
52835;Urbano
76109;Urbano
86568;Urbano
86571;Rural
86573;Rural
91001;Rural
91263;Rural
91405;Rural
91407;Rural
91430;Rural
91460;Rural
91530;Rural
91536;Rural
91540;Rural
91669;Rural
91798;Rural
94001;Rural
94343;Rural
94663;Rural
94883;Rural
94884;Rural
94885;Rural
94886;Rural
94887;Rural
94888;Rural
95001;Rural
95015;Rural
95025;Rural
95200;Rural
97001;Rural
97161;Rural
97511;Rural
97666;Rural
97777;Rural
97889;Rural
99001;Rural
99524;Rural
99773;Rural
18205;Rural
18592;Rural
20570;Rural
44430;Urbano
44560;Urbano
50325;Rural
50568;Rural
76243;Rural
76246;Rural
25513;Urbano
25506;Rural
76248;Urbano
25491;Urbano
76250;Rural
25489;Urbano
76275;Urbano
25488;Rural
76306;Urbano
25486;Urbano
25530;Rural
25535;Rural
25572;Rural
25580;Rural
25592;Rural
25594;Rural
25596;Rural
25524;Rural
25518;Rural
25599;Urbano
25612;Urbano
25645;Urbano
25649;Rural
25653;Rural
25658;Urbano
25662;Rural
25718;Rural
25736;Rural
25740;Urbano
25743;Urbano
25745;Urbano
25754;Urbano
25099;Urbano
25095;Rural
25086;Rural
25053;Urbano
25040;Urbano
25035;Urbano
25148;Rural
25151;Urbano
25154;Rural
25168;Rural
25175;Urbano
25178;Rural
25019;Urbano
25126;Urbano
25001;Urbano
25123;Urbano
25120;Rural
25181;Urbano
25183;Urbano
25200;Urbano
25214;Urbano
25224;Rural
25245;Urbano
25258;Rural
25260;Urbano
25269;Urbano
25279;Rural
25281;Rural
25286;Urbano
25793;Rural
25785;Urbano
25781;Urbano
25823;Rural
25839;Rural
25841;Rural
25779;Urbano
25817;Urbano
25777;Rural
25815;Urbano
25772;Urbano
25807;Rural
25862;Rural
25867;Urbano
25871;Rural
25873;Urbano
25875;Urbano
25878;Urbano
25769;Urbano
25805;Rural
25851;Urbano
25899;Urbano
25758;Urbano
25799;Urbano
25845;Rural
25898;Urbano
25797;Urbano
25843;Urbano
25885;Rural
25312;Urbano
25307;Urbano
25299;Rural
25297;Rural
25295;Urbano
25293;Rural
25290;Urbano
25288;Rural
25320;Rural
25322;Rural
25324;Rural
25326;Rural
25328;Rural
25335;Rural
25339;Rural
25368;Rural
25317;Urbano
25372;Rural
25377;Urbano
25386;Urbano
25394;Urbano
25398;Rural
25402;Urbano
25407;Rural
25426;Rural
25430;Urbano
25436;Rural
25438;Rural
25473;Urbano
11001;Urbano
15001;Urbano
15022;Rural
15047;Rural
15051;Rural
15087;Urbano
15090;Rural
15092;Rural
15097;Rural
15104;Rural
15106;Rural
15109;Rural
15114;Rural
15131;Rural
15135;Rural
15162;Urbano
15172;Rural
15176;Urbano
15183;Rural
15185;Rural
15187;Urbano
15189;Rural
15204;Rural
15212;Rural
15215;Rural
15377;Rural
15380;Rural
15401;Rural
15403;Rural
15542;Rural
15550;Rural
15572;Urbano
15580;Rural
15755;Rural
15757;Rural
15759;Urbano
15761;Rural
15842;Rural
15861;Urbano
15879;Rural
15897;Rural
15218;Rural
15224;Urbano
15226;Rural
15232;Rural
15236;Rural
15238;Urbano
15244;Rural
15248;Urbano
15272;Urbano
15276;Rural
15293;Rural
15296;Rural
15299;Urbano
15317;Rural
15322;Urbano
15325;Rural
15362;Urbano
15367;Urbano
15368;Rural
15407;Urbano
15425;Rural
15442;Rural
15455;Rural
15464;Rural
15466;Urbano
15469;Urbano
15476;Urbano
15480;Urbano
15491;Urbano
15494;Urbano
15500;Rural
15507;Rural
15511;Rural
15514;Rural
15516;Urbano
15518;Rural
15522;Rural
15531;Rural
15533;Rural
15537;Rural
15599;Urbano
15600;Rural
15621;Rural
15632;Rural
15638;Urbano
15646;Urbano
15660;Rural
15664;Rural
15667;Rural
15673;Rural
15676;Rural
15681;Rural
15686;Urbano
15690;Rural
15693;Urbano
15696;Rural
15720;Rural
15723;Rural
15740;Rural
15753;Urbano
15762;Rural
15763;Rural
15764;Rural
15774;Rural
15776;Rural
15778;Urbano
15790;Rural
15798;Rural
15804;Rural
15806;Urbano
15808;Rural
15810;Rural
15814;Urbano
15816;Rural
15820;Urbano
15822;Rural
15832;Rural
15835;Urbano
15837;Rural
15839;Rural
23001;Urbano
23068;Urbano
23079;Rural
23090;Rural
